name,stuff,bv,difficulty,tags,methods,tools,
电饭煲版土豆排骨焖饭,猪肉、土豆、米、腊肠,BV1Bv411C7X3,简单,懒人,,电饭煲
电饭煲版可乐鸡翅,鸡肉,BV16J411U79k,,,,电饭煲
电饭煲版蜜汁鸡腿,鸡肉,BV1A4411k7iz,普通,,,电饭煲
电饭煲版蒜蓉排骨,猪肉、米、,BV1Dv411T7bD,,,,电饭煲
电饭煲窝蛋牛肉饭,牛肉、鸡蛋、米,BV1aA411q7b9,简单,,,电饭煲
